# r1_0,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,y1_0,y1_1,y1_2,y1_3,y1_4,y1_5,y1_6,y2_0,y2_1,y2_2,y2_3,y2_4,y2_5,y2_6
-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,6.111400000000000166e-01,4.971300000000000163e-01,1.287500000000000089e+00,2.004700000000000093e-01,4.665300000000000002e-01,5.059500000000000108e-01,-1.220499999999999918e+00,-2.957299999999999929e-01,-5.453500000000000014e-01,7.795699999999999852e-01,9.035100000000000353e-01,-1.332200000000000051e-01,1.440199999999999925e+00,1.978299999999999947e+00,1.088800000000000046e-01,-8.361300000000000676e-02,3.778500000000000192e-01,6.171100000000000474e-01,-9.823300000000000365e-01,5.458600000000000119e-01,4.869700000000000140e-01
1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,4.971300000000000163e-01,1.287500000000000089e+00,2.004700000000000093e-01,4.665300000000000002e-01,5.059500000000000108e-01,-1.220499999999999918e+00,-6.945300000000000085e-02,-5.453500000000000014e-01,7.795699999999999852e-01,9.035100000000000353e-01,-1.332200000000000051e-01,1.440199999999999925e+00,1.978299999999999947e+00,-5.458100000000000174e-01,-8.361300000000000676e-02,3.778500000000000192e-01,6.171100000000000474e-01,-9.823300000000000365e-01,5.458600000000000119e-01,4.869700000000000140e-01,-1.260499999999999954e+00
-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,1.287500000000000089e+00,2.004700000000000093e-01,4.665300000000000002e-01,5.059500000000000108e-01,-1.220499999999999918e+00,-6.945300000000000085e-02,3.554299999999999821e-02,7.795699999999999852e-01,9.035100000000000353e-01,-1.332200000000000051e-01,1.440199999999999925e+00,1.978299999999999947e+00,-5.458100000000000174e-01,1.254899999999999904e+00,3.778500000000000192e-01,6.171100000000000474e-01,-9.823300000000000365e-01,5.458600000000000119e-01,4.869700000000000140e-01,-1.260499999999999954e+00,4.218999999999999972e-01
-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.004700000000000093e-01,4.665300000000000002e-01,5.059500000000000108e-01,-1.220499999999999918e+00,-6.945300000000000085e-02,3.554299999999999821e-02,1.230900000000000105e+00,9.035100000000000353e-01,-1.332200000000000051e-01,1.440199999999999925e+00,1.978299999999999947e+00,-5.458100000000000174e-01,1.254899999999999904e+00,2.977299999999999947e-01,6.171100000000000474e-01,-9.823300000000000365e-01,5.458600000000000119e-01,4.869700000000000140e-01,-1.260499999999999954e+00,4.218999999999999972e-01,-3.729600000000000137e-01
-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,4.665300000000000002e-01,5.059500000000000108e-01,-1.220499999999999918e+00,-6.945300000000000085e-02,3.554299999999999821e-02,1.230900000000000105e+00,-4.388199999999999878e-01,-1.332200000000000051e-01,1.440199999999999925e+00,1.978299999999999947e+00,-5.458100000000000174e-01,1.254899999999999904e+00,2.977299999999999947e-01,2.841499999999999915e+00,-9.823300000000000365e-01,5.458600000000000119e-01,4.869700000000000140e-01,-1.260499999999999954e+00,4.218999999999999972e-01,-3.729600000000000137e-01,1.951600000000000001e+00
2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,5.059500000000000108e-01,-1.220499999999999918e+00,-6.945300000000000085e-02,3.554299999999999821e-02,1.230900000000000105e+00,-4.388199999999999878e-01,-7.675999999999999490e-01,1.440199999999999925e+00,1.978299999999999947e+00,-5.458100000000000174e-01,1.254899999999999904e+00,2.977299999999999947e-01,2.841499999999999915e+00,-1.532999999999999918e-01,5.458600000000000119e-01,4.869700000000000140e-01,-1.260499999999999954e+00,4.218999999999999972e-01,-3.729600000000000137e-01,1.951600000000000001e+00,-6.305299999999999794e-02
-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-1.220499999999999918e+00,-6.945300000000000085e-02,3.554299999999999821e-02,1.230900000000000105e+00,-4.388199999999999878e-01,-7.675999999999999490e-01,-1.098500000000000032e-01,1.978299999999999947e+00,-5.458100000000000174e-01,1.254899999999999904e+00,2.977299999999999947e-01,2.841499999999999915e+00,-1.532999999999999918e-01,9.569699999999999873e-01,4.869700000000000140e-01,-1.260499999999999954e+00,4.218999999999999972e-01,-3.729600000000000137e-01,1.951600000000000001e+00,-6.305299999999999794e-02,1.319299999999999917e+00
-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-6.945300000000000085e-02,3.554299999999999821e-02,1.230900000000000105e+00,-4.388199999999999878e-01,-7.675999999999999490e-01,-1.098500000000000032e-01,-1.159999999999999920e+00,-5.458100000000000174e-01,1.254899999999999904e+00,2.977299999999999947e-01,2.841499999999999915e+00,-1.532999999999999918e-01,9.569699999999999873e-01,-1.599900000000000100e+00,-1.260499999999999954e+00,4.218999999999999972e-01,-3.729600000000000137e-01,1.951600000000000001e+00,-6.305299999999999794e-02,1.319299999999999917e+00,-2.086099999999999899e-01
-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,3.554299999999999821e-02,1.230900000000000105e+00,-4.388199999999999878e-01,-7.675999999999999490e-01,-1.098500000000000032e-01,-1.159999999999999920e+00,-6.481299999999999839e-01,1.254899999999999904e+00,2.977299999999999947e-01,2.841499999999999915e+00,-1.532999999999999918e-01,9.569699999999999873e-01,-1.599900000000000100e+00,-2.711300000000000043e+00,4.218999999999999972e-01,-3.729600000000000137e-01,1.951600000000000001e+00,-6.305299999999999794e-02,1.319299999999999917e+00,-2.086099999999999899e-01,-1.818000000000000060e+00
6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,1.230900000000000105e+00,-4.388199999999999878e-01,-7.675999999999999490e-01,-1.098500000000000032e-01,-1.159999999999999920e+00,-6.481299999999999839e-01,-1.259100000000000108e+00,2.977299999999999947e-01,2.841499999999999915e+00,-1.532999999999999918e-01,9.569699999999999873e-01,-1.599900000000000100e+00,-2.711300000000000043e+00,-1.183400000000000007e+00,-3.729600000000000137e-01,1.951600000000000001e+00,-6.305299999999999794e-02,1.319299999999999917e+00,-2.086099999999999899e-01,-1.818000000000000060e+00,-5.266600000000000170e-01
