# r1_0,r1_1,r2_0,r2_1,y1_0,y1_1,y2_0,y2_1
-5.622499999999999720e-02,5.134800000000000475e-01,-1.769600000000000062e+00,4.394799999999999818e-01,1.319700000000000095e+00,-2.032200000000000006e+00,4.632899999999999796e-01,-1.509700000000000042e+00
5.134800000000000475e-01,3.966799999999999771e-01,4.394799999999999818e-01,4.951800000000000090e-01,-2.032200000000000006e+00,1.405399999999999983e+00,-1.509700000000000042e+00,1.648500000000000076e+00
3.966799999999999771e-01,7.562200000000000033e-01,4.951800000000000090e-01,6.846200000000000063e-01,1.405399999999999983e+00,-5.814200000000000479e-01,1.648500000000000076e+00,4.589799999999999783e-03
7.562200000000000033e-01,4.004900000000000126e-01,6.846200000000000063e-01,-3.958499999999999797e-01,-5.814200000000000479e-01,8.005299999999999638e-01,4.589799999999999783e-03,1.258299999999999974e+00
4.004900000000000126e-01,-1.341399999999999926e+00,-3.958499999999999797e-01,4.901699999999999807e-02,8.005299999999999638e-01,-1.464199999999999946e+00,1.258299999999999974e+00,-1.281600000000000072e+00
-1.341399999999999926e+00,3.750399999999999845e-01,4.901699999999999807e-02,-3.721700000000000008e-01,-1.464199999999999946e+00,-7.879099999999999993e-01,-1.281600000000000072e+00,-4.023399999999999893e-02
3.750399999999999845e-01,1.125199999999999978e+00,-3.721700000000000008e-01,2.569600000000000217e-01,-7.879099999999999993e-01,3.860100000000000198e-01,-4.023399999999999893e-02,-3.708800000000000291e-02
1.125199999999999978e+00,7.286399999999999544e-01,2.569600000000000217e-01,8.107299999999999507e-01,3.860100000000000198e-01,3.786900000000000266e-01,-3.708800000000000291e-02,1.025700000000000056e+00
7.286399999999999544e-01,-2.377499999999999947e+00,8.107299999999999507e-01,-3.401399999999999979e-01,3.786900000000000266e-01,-1.087300000000000072e-02,1.025700000000000056e+00,-1.539800000000000058e-01
-2.377499999999999947e+00,-2.737800000000000233e-01,-3.401399999999999979e-01,-1.318599999999999994e+00,-1.087300000000000072e-02,-2.284699999999999953e+00,-1.539800000000000058e-01,-1.710800000000000098e+00
-2.737800000000000233e-01,-3.229400000000000048e-01,-1.318599999999999994e+00,-2.109199999999999964e+00,-2.284699999999999953e+00,6.823700000000000321e-01,-1.710800000000000098e+00,-8.351399999999999935e-01
-3.229400000000000048e-01,3.179899999999999949e-01,-2.109199999999999964e+00,3.065599999999999992e-01,6.823700000000000321e-01,-1.955799999999999983e+00,-8.351399999999999935e-01,-1.881000000000000005e+00
3.179899999999999949e-01,-5.111700000000000133e-01,3.065599999999999992e-01,-7.888199999999999656e-01,-1.955799999999999983e+00,1.565399999999999903e+00,-1.881000000000000005e+00,1.074799999999999978e+00
-5.111700000000000133e-01,-2.041299999999999799e-03,-7.888199999999999656e-01,-5.037099999999999911e-01,1.565399999999999903e+00,-1.794699999999999962e+00,1.074799999999999978e+00,-1.765900000000000025e+00
-2.041299999999999799e-03,1.606500000000000039e+00,-5.037099999999999911e-01,1.553199999999999914e+00,-1.794699999999999962e+00,6.513600000000000501e-01,-1.765900000000000025e+00,8.679700000000000193e-01
1.606500000000000039e+00,8.476500000000000146e-01,1.553199999999999914e+00,3.207999999999999741e-01,6.513600000000000501e-01,1.828400000000000025e+00,8.679700000000000193e-01,2.100699999999999790e+00
8.476500000000000146e-01,2.681000000000000050e-01,3.207999999999999741e-01,-1.926799999999999902e-01,1.828400000000000025e+00,-1.004599999999999937e+00,2.100699999999999790e+00,-9.861000000000000321e-02
2.681000000000000050e-01,-9.234900000000000331e-01,-1.926799999999999902e-01,1.557900000000000063e+00,-1.004599999999999937e+00,-7.731400000000000494e-01,-9.861000000000000321e-02,-2.540999999999999925e-01
-9.234900000000000331e-01,-7.049900000000000611e-02,1.557900000000000063e+00,5.663200000000000178e-02,-7.731400000000000494e-01,3.001499999999999724e-01,-2.540999999999999925e-01,9.167300000000000448e-01
-7.049900000000000611e-02,1.478899999999999937e-01,5.663200000000000178e-02,-1.224399999999999933e+00,3.001499999999999724e-01,1.309500000000000108e-01,9.167300000000000448e-01,-4.996800000000000130e-01
1.478899999999999937e-01,-5.570899999999999741e-01,-1.224399999999999933e+00,6.515500000000000458e-02,1.309500000000000108e-01,-8.781400000000000317e-01,-4.996800000000000130e-01,-9.773899999999999810e-01
-5.570899999999999741e-01,-3.367100000000000093e-01,6.515500000000000458e-02,-1.094799999999999995e+00,-8.781400000000000317e-01,1.651100000000000137e-02,-9.773899999999999810e-01,5.714099999999999735e-02
-3.367100000000000093e-01,4.152299999999999880e-01,-1.094799999999999995e+00,-1.069399999999999906e+00,1.651100000000000137e-02,-9.822100000000000275e-01,5.714099999999999735e-02,-1.285400000000000098e+00
4.152299999999999880e-01,1.557800000000000074e+00,-1.069399999999999906e+00,2.165700000000000125e-01,-9.822100000000000275e-01,-2.127999999999999892e-01,-1.285400000000000098e+00,2.189200000000000035e-01
1.557800000000000074e+00,-2.444300000000000139e+00,2.165700000000000125e-01,-7.726300000000000390e-01,-2.127999999999999892e-01,4.110500000000000265e-01,2.189200000000000035e-01,-4.099599999999999772e-02
-2.444300000000000139e+00,-1.098200000000000065e+00,-7.726300000000000390e-01,-8.308600000000000430e-01,4.110500000000000265e-01,-3.425399999999999778e+00,-4.099599999999999772e-02,-2.625799999999999912e+00
-1.098200000000000065e+00,1.122600000000000042e+00,-8.308600000000000430e-01,9.619799999999999462e-01,-3.425399999999999778e+00,1.013700000000000045e+00,-2.625799999999999912e+00,-3.167400000000000077e-02
1.122600000000000042e+00,5.816700000000000204e-01,9.619799999999999462e-01,-9.459699999999999775e-01,1.013700000000000045e+00,1.998899999999999899e+00,-3.167400000000000077e-02,1.558999999999999941e+00
5.816700000000000204e-01,-2.713499999999999801e-01,-9.459699999999999775e-01,9.196600000000000330e-01,1.998899999999999899e+00,-1.330999999999999961e+00,1.558999999999999941e+00,-1.332300000000000040e+00
-2.713499999999999801e-01,4.141900000000000026e-01,9.196600000000000330e-01,-1.139000000000000012e+00,-1.330999999999999961e+00,1.002799999999999914e+00,-1.332300000000000040e+00,1.669599999999999973e+00
