# r1_0,r1_1,r1_2,r2_0,r2_1,r2_2,y1_0,y1_1,y1_2,y2_0,y2_1,y2_2
1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-8.306399999999999895e-02,2.717200000000000060e+00,7.102699999999999569e-01,1.323799999999999977e-01,3.013700000000000045e+00,5.131499999999999950e-01
1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,2.717200000000000060e+00,7.102699999999999569e-01,6.125899999999999679e-01,3.013700000000000045e+00,5.131499999999999950e-01,1.340099999999999902e-01
4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,7.102699999999999569e-01,6.125899999999999679e-01,-2.877200000000000202e+00,5.131499999999999950e-01,1.340099999999999902e-01,-2.271199999999999886e+00
-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,6.125899999999999679e-01,-2.877200000000000202e+00,3.052999999999999936e+00,1.340099999999999902e-01,-2.271199999999999886e+00,3.350099999999999856e+00
1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,-2.877200000000000202e+00,3.052999999999999936e+00,-2.076499999999999790e+00,-2.271199999999999886e+00,3.350099999999999856e+00,-2.454699999999999882e+00
-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,3.052999999999999936e+00,-2.076499999999999790e+00,1.040499999999999980e+00,3.350099999999999856e+00,-2.454699999999999882e+00,1.642900000000000027e+00
9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,-2.076499999999999790e+00,1.040499999999999980e+00,1.068500000000000005e-01,-2.454699999999999882e+00,1.642900000000000027e+00,-2.491599999999999926e-01
6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,1.040499999999999980e+00,1.068500000000000005e-01,-9.434399999999999453e-01,1.642900000000000027e+00,-2.491599999999999926e-01,-8.371100000000000207e-01
-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,1.068500000000000005e-01,-9.434399999999999453e-01,3.182699999999999974e-01,-2.491599999999999926e-01,-8.371100000000000207e-01,4.240599999999999925e-01
1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-9.434399999999999453e-01,3.182699999999999974e-01,-5.122200000000000086e-01,-8.371100000000000207e-01,4.240599999999999925e-01,-9.312500000000000222e-01
-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,3.182699999999999974e-01,-5.122200000000000086e-01,-1.428600000000000092e+00,4.240599999999999925e-01,-9.312500000000000222e-01,-1.760199999999999987e+00
-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-5.122200000000000086e-01,-1.428600000000000092e+00,-1.348700000000000010e+00,-9.312500000000000222e-01,-1.760199999999999987e+00,-1.220499999999999918e+00
-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-1.428600000000000092e+00,-1.348700000000000010e+00,5.114600000000000257e-01,-1.760199999999999987e+00,-1.220499999999999918e+00,3.966199999999999726e-01
2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-1.348700000000000010e+00,5.114600000000000257e-01,-5.321900000000000519e-01,-1.220499999999999918e+00,3.966199999999999726e-01,-9.273700000000000276e-01
-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,5.114600000000000257e-01,-5.321900000000000519e-01,-1.071000000000000008e-01,3.966199999999999726e-01,-9.273700000000000276e-01,-4.384100000000000219e-01
-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,-5.321900000000000519e-01,-1.071000000000000008e-01,-9.634800000000000031e-01,-9.273700000000000276e-01,-4.384100000000000219e-01,-1.060300000000000020e+00
-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,-1.071000000000000008e-01,-9.634800000000000031e-01,7.747899999999999787e-01,-4.384100000000000219e-01,-1.060300000000000020e+00,8.506899999999999462e-01
6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,-9.634800000000000031e-01,7.747899999999999787e-01,4.392800000000000038e-01,-1.060300000000000020e+00,8.506899999999999462e-01,8.642400000000000082e-01
2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,7.747899999999999787e-01,4.392800000000000038e-01,3.245200000000000085e+00,8.506899999999999462e-01,8.642400000000000082e-01,3.497199999999999864e+00
2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,4.392800000000000038e-01,3.245200000000000085e+00,7.570400000000000462e-01,8.642400000000000082e-01,3.497199999999999864e+00,2.112199999999999911e-01
1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,3.245200000000000085e+00,7.570400000000000462e-01,-8.033799999999999830e-01,3.497199999999999864e+00,2.112199999999999911e-01,-9.521600000000000064e-01
-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,7.570400000000000462e-01,-8.033799999999999830e-01,-1.225200000000000067e+00,2.112199999999999911e-01,-9.521600000000000064e-01,-7.779099999999999904e-01
-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-8.033799999999999830e-01,-1.225200000000000067e+00,8.903999999999999693e-01,-9.521600000000000064e-01,-7.779099999999999904e-01,6.679699999999999527e-01
6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,-1.225200000000000067e+00,8.903999999999999693e-01,-2.360399999999999832e+00,-7.779099999999999904e-01,6.679699999999999527e-01,-2.621500000000000163e+00
-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,8.903999999999999693e-01,-2.360399999999999832e+00,1.723500000000000032e-01,6.679699999999999527e-01,-2.621500000000000163e+00,6.022100000000000231e-01
-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-2.360399999999999832e+00,1.723500000000000032e-01,2.794699999999999962e-01,-2.621500000000000163e+00,6.022100000000000231e-01,4.875599999999999934e-01
4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,1.723500000000000032e-01,2.794699999999999962e-01,1.690900000000000070e+00,6.022100000000000231e-01,4.875599999999999934e-01,1.463100000000000067e+00
1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,2.794699999999999962e-01,1.690900000000000070e+00,-1.051600000000000090e+00,4.875599999999999934e-01,1.463100000000000067e+00,-1.120200000000000085e+00
-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,1.690900000000000070e+00,-1.051600000000000090e+00,1.064400000000000013e+00,1.463100000000000067e+00,-1.120200000000000085e+00,1.209699999999999998e+00
4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,-1.051600000000000090e+00,1.064400000000000013e+00,-8.181000000000000494e-01,-1.120200000000000085e+00,1.209699999999999998e+00,-9.208100000000000174e-01
-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,1.064400000000000013e+00,-8.181000000000000494e-01,4.491899999999999782e-01,1.209699999999999998e+00,-9.208100000000000174e-01,6.706299999999999484e-01
8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,-8.181000000000000494e-01,4.491899999999999782e-01,-4.564499999999999807e-02,-9.208100000000000174e-01,6.706299999999999484e-01,-4.394500000000000073e-01
2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,4.491899999999999782e-01,-4.564499999999999807e-02,-1.441899999999999959e+00,6.706299999999999484e-01,-4.394500000000000073e-01,-7.948800000000000310e-01
-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,-4.564499999999999807e-02,-1.441899999999999959e+00,3.084499999999999797e+00,-4.394500000000000073e-01,-7.948800000000000310e-01,3.254500000000000171e+00
1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.441899999999999959e+00,3.084499999999999797e+00,-1.140500000000000069e+00,-7.948800000000000310e-01,3.254500000000000171e+00,-1.220699999999999896e+00
2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,3.084499999999999797e+00,-1.140500000000000069e+00,2.012900000000000134e+00,3.254500000000000171e+00,-1.220699999999999896e+00,1.881299999999999972e+00
1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,-1.140500000000000069e+00,2.012900000000000134e+00,-2.933300000000000018e+00,-1.220699999999999896e+00,1.881299999999999972e+00,-3.493599999999999817e+00
-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,2.012900000000000134e+00,-2.933300000000000018e+00,-6.949699999999999767e-01,1.881299999999999972e+00,-3.493599999999999817e+00,5.565200000000000147e-01
-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.933300000000000018e+00,-6.949699999999999767e-01,3.157999999999999918e+00,-3.493599999999999817e+00,5.565200000000000147e-01,3.391700000000000159e+00
2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,-6.949699999999999767e-01,3.157999999999999918e+00,1.141800000000000037e-01,5.565200000000000147e-01,3.391700000000000159e+00,-9.542199999999999571e-01
8.258600000000000385e-01,-2.118799999999999795e+00,1.174000000000000044e-01,8.258600000000000385e-01,-2.118799999999999795e+00,1.174000000000000044e-01,3.157999999999999918e+00,1.141800000000000037e-01,-2.744299999999999962e+00,3.391700000000000159e+00,-9.542199999999999571e-01,-2.536200000000000010e+00
-2.118799999999999795e+00,1.174000000000000044e-01,3.859799999999999898e-01,-2.118799999999999795e+00,1.174000000000000044e-01,3.859799999999999898e-01,1.141800000000000037e-01,-2.744299999999999962e+00,7.860000000000000320e-01,-9.542199999999999571e-01,-2.536200000000000010e+00,1.294200000000000017e+00
1.174000000000000044e-01,3.859799999999999898e-01,6.643499999999999961e-01,1.174000000000000044e-01,3.859799999999999898e-01,6.643499999999999961e-01,-2.744299999999999962e+00,7.860000000000000320e-01,-9.556900000000000117e-02,-2.536200000000000010e+00,1.294200000000000017e+00,-7.755199999999999594e-02
3.859799999999999898e-01,6.643499999999999961e-01,-6.151400000000000201e-01,3.859799999999999898e-01,6.643499999999999961e-01,-6.151400000000000201e-01,7.860000000000000320e-01,-9.556900000000000117e-02,1.121599999999999930e+00,1.294200000000000017e+00,-7.755199999999999594e-02,9.442700000000000538e-01
6.643499999999999961e-01,-6.151400000000000201e-01,-1.060999999999999943e+00,6.643499999999999961e-01,-6.151400000000000201e-01,-1.060999999999999943e+00,-9.556900000000000117e-02,1.121599999999999930e+00,-1.254899999999999904e+00,-7.755199999999999594e-02,9.442700000000000538e-01,-1.711400000000000032e+00
-6.151400000000000201e-01,-1.060999999999999943e+00,-5.050900000000000389e-01,-6.151400000000000201e-01,-1.060999999999999943e+00,-5.050900000000000389e-01,1.121599999999999930e+00,-1.254899999999999904e+00,-9.868999999999999995e-01,9.442700000000000538e-01,-1.711400000000000032e+00,-9.430300000000000349e-01
-1.060999999999999943e+00,-5.050900000000000389e-01,-5.200099999999999861e-02,-1.060999999999999943e+00,-5.050900000000000389e-01,-5.200099999999999861e-02,-1.254899999999999904e+00,-9.868999999999999995e-01,-5.354499999999999815e-01,-1.711400000000000032e+00,-9.430300000000000349e-01,-5.003499999999999615e-01
-5.050900000000000389e-01,-5.200099999999999861e-02,-9.840400000000000535e-02,-5.050900000000000389e-01,-5.200099999999999861e-02,-9.840400000000000535e-02,-9.868999999999999995e-01,-5.354499999999999815e-01,1.589000000000000135e-01,-9.430300000000000349e-01,-5.003499999999999615e-01,8.622399999999999509e-02
-5.200099999999999861e-02,-9.840400000000000535e-02,4.633600000000000219e-02,-5.200099999999999861e-02,-9.840400000000000535e-02,4.633600000000000219e-02,-5.354499999999999815e-01,1.589000000000000135e-01,-4.448599999999999603e-03,-5.003499999999999615e-01,8.622399999999999509e-02,-1.099200000000000038e-01
