# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-2.149399999999999922e-01,2.905899999999999928e+00,-4.495600000000000152e-01,-7.919400000000000051e-02,-3.470299999999999940e+00,1.323799999999999977e-01,3.013700000000000045e+00,5.131499999999999950e-01,1.340099999999999902e-01,-2.271199999999999886e+00
1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,2.905899999999999928e+00,-4.495600000000000152e-01,-7.919400000000000051e-02,-3.470299999999999940e+00,4.113999999999999879e+00,3.013700000000000045e+00,5.131499999999999950e-01,1.340099999999999902e-01,-2.271199999999999886e+00,3.350099999999999856e+00
4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,-4.495600000000000152e-01,-7.919400000000000051e-02,-3.470299999999999940e+00,4.113999999999999879e+00,-3.404100000000000126e+00,5.131499999999999950e-01,1.340099999999999902e-01,-2.271199999999999886e+00,3.350099999999999856e+00,-2.454699999999999882e+00
-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-7.919400000000000051e-02,-3.470299999999999940e+00,4.113999999999999879e+00,-3.404100000000000126e+00,1.599499999999999922e+00,1.340099999999999902e-01,-2.271199999999999886e+00,3.350099999999999856e+00,-2.454699999999999882e+00,1.642900000000000027e+00
1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,-3.470299999999999940e+00,4.113999999999999879e+00,-3.404100000000000126e+00,1.599499999999999922e+00,-2.913700000000000179e-01,-2.271199999999999886e+00,3.350099999999999856e+00,-2.454699999999999882e+00,1.642900000000000027e+00,-2.491599999999999926e-01
-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,4.113999999999999879e+00,-3.404100000000000126e+00,1.599499999999999922e+00,-2.913700000000000179e-01,-1.261700000000000044e+00,3.350099999999999856e+00,-2.454699999999999882e+00,1.642900000000000027e+00,-2.491599999999999926e-01,-8.371100000000000207e-01
9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-3.404100000000000126e+00,1.599499999999999922e+00,-2.913700000000000179e-01,-1.261700000000000044e+00,6.862099999999999866e-01,-2.454699999999999882e+00,1.642900000000000027e+00,-2.491599999999999926e-01,-8.371100000000000207e-01,4.240599999999999925e-01
6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,1.599499999999999922e+00,-2.913700000000000179e-01,-1.261700000000000044e+00,6.862099999999999866e-01,-6.774799999999999711e-01,1.642900000000000027e+00,-2.491599999999999926e-01,-8.371100000000000207e-01,4.240599999999999925e-01,-9.312500000000000222e-01
-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,-2.913700000000000179e-01,-1.261700000000000044e+00,6.862099999999999866e-01,-6.774799999999999711e-01,-1.230599999999999916e+00,-2.491599999999999926e-01,-8.371100000000000207e-01,4.240599999999999925e-01,-9.312500000000000222e-01,-1.760199999999999987e+00
1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-1.261700000000000044e+00,6.862099999999999866e-01,-6.774799999999999711e-01,-1.230599999999999916e+00,-5.775700000000000278e-01,-8.371100000000000207e-01,4.240599999999999925e-01,-9.312500000000000222e-01,-1.760199999999999987e+00,-1.220499999999999918e+00
