# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
-1.446199999999999930e+00,-7.011699999999999600e-01,1.245999999999999996e+00,-6.389799999999999924e-01,5.773500000000000298e-01,-4.379799999999999804e-01,1.366500000000000048e+00,-8.726500000000000368e-01,8.932700000000000362e-02,2.476599999999999913e-01,-2.445800000000000196e+00,-2.561300000000000132e+00,1.187400000000000011e+00,-1.975300000000000111e-01,-9.616400000000000503e-01,-2.233800000000000008e+00,-8.793900000000000050e-01,5.028200000000000447e-01,-5.970900000000000096e-01,-1.585699999999999887e-01
-7.011699999999999600e-01,1.245999999999999996e+00,-6.389799999999999924e-01,5.773500000000000298e-01,-3.600300000000000167e-01,1.366500000000000048e+00,-8.726500000000000368e-01,8.932700000000000362e-02,2.476599999999999913e-01,4.069900000000000184e-01,-2.561300000000000132e+00,1.187400000000000011e+00,-1.975300000000000111e-01,-9.616400000000000503e-01,9.808000000000000052e-01,-8.793900000000000050e-01,5.028200000000000447e-01,-5.970900000000000096e-01,-1.585699999999999887e-01,5.188500000000000334e-01
1.245999999999999996e+00,-6.389799999999999924e-01,5.773500000000000298e-01,-3.600300000000000167e-01,-1.355800000000000061e-01,-8.726500000000000368e-01,8.932700000000000362e-02,2.476599999999999913e-01,4.069900000000000184e-01,6.480700000000000349e-01,1.187400000000000011e+00,-1.975300000000000111e-01,-9.616400000000000503e-01,9.808000000000000052e-01,-7.173699999999999521e-01,5.028200000000000447e-01,-5.970900000000000096e-01,-1.585699999999999887e-01,5.188500000000000334e-01,-1.844099999999999906e-01
-6.389799999999999924e-01,5.773500000000000298e-01,-3.600300000000000167e-01,-1.355800000000000061e-01,-1.349299999999999944e+00,8.932700000000000362e-02,2.476599999999999913e-01,4.069900000000000184e-01,6.480700000000000349e-01,-1.644799999999999873e-01,-1.975300000000000111e-01,-9.616400000000000503e-01,9.808000000000000052e-01,-7.173699999999999521e-01,9.985199999999999632e-01,-5.970900000000000096e-01,-1.585699999999999887e-01,5.188500000000000334e-01,-1.844099999999999906e-01,6.283900000000000041e-01
5.773500000000000298e-01,-3.600300000000000167e-01,-1.355800000000000061e-01,-1.349299999999999944e+00,-1.270399999999999974e+00,2.476599999999999913e-01,4.069900000000000184e-01,6.480700000000000349e-01,-1.644799999999999873e-01,8.115099999999999536e-01,-9.616400000000000503e-01,9.808000000000000052e-01,-7.173699999999999521e-01,9.985199999999999632e-01,-1.261100000000000110e+00,-1.585699999999999887e-01,5.188500000000000334e-01,-1.844099999999999906e-01,6.283900000000000041e-01,-1.367399999999999949e+00
-3.600300000000000167e-01,-1.355800000000000061e-01,-1.349299999999999944e+00,-1.270399999999999974e+00,9.845699999999999452e-01,4.069900000000000184e-01,6.480700000000000349e-01,-1.644799999999999873e-01,8.115099999999999536e-01,4.083499999999999908e-01,9.808000000000000052e-01,-7.173699999999999521e-01,9.985199999999999632e-01,-1.261100000000000110e+00,1.729200000000000070e+00,5.188500000000000334e-01,-1.844099999999999906e-01,6.283900000000000041e-01,-1.367399999999999949e+00,7.145599999999999730e-01
-1.355800000000000061e-01,-1.349299999999999944e+00,-1.270399999999999974e+00,9.845699999999999452e-01,-4.488099999999999729e-02,6.480700000000000349e-01,-1.644799999999999873e-01,8.115099999999999536e-01,4.083499999999999908e-01,-1.290100000000000025e+00,-7.173699999999999521e-01,9.985199999999999632e-01,-1.261100000000000110e+00,1.729200000000000070e+00,2.246100000000000207e+00,-1.844099999999999906e-01,6.283900000000000041e-01,-1.367399999999999949e+00,7.145599999999999730e-01,9.531699999999999617e-01
-1.349299999999999944e+00,-1.270399999999999974e+00,9.845699999999999452e-01,-4.488099999999999729e-02,-7.989399999999999835e-01,-1.644799999999999873e-01,8.115099999999999536e-01,4.083499999999999908e-01,-1.290100000000000025e+00,9.637099999999999556e-01,9.985199999999999632e-01,-1.261100000000000110e+00,1.729200000000000070e+00,2.246100000000000207e+00,-1.390900000000000025e+00,6.283900000000000041e-01,-1.367399999999999949e+00,7.145599999999999730e-01,9.531699999999999617e-01,-1.278499999999999970e+00
-1.270399999999999974e+00,9.845699999999999452e-01,-4.488099999999999729e-02,-7.989399999999999835e-01,-7.651700000000000168e-01,8.115099999999999536e-01,4.083499999999999908e-01,-1.290100000000000025e+00,9.637099999999999556e-01,6.525499999999999634e-01,-1.261100000000000110e+00,1.729200000000000070e+00,2.246100000000000207e+00,-1.390900000000000025e+00,1.421200000000000019e+00,-1.367399999999999949e+00,7.145599999999999730e-01,9.531699999999999617e-01,-1.278499999999999970e+00,1.323700000000000099e+00
9.845699999999999452e-01,-4.488099999999999729e-02,-7.989399999999999835e-01,-7.651700000000000168e-01,8.617299999999999960e-01,4.083499999999999908e-01,-1.290100000000000025e+00,9.637099999999999556e-01,6.525499999999999634e-01,-4.108399999999999830e-01,1.729200000000000070e+00,2.246100000000000207e+00,-1.390900000000000025e+00,1.421200000000000019e+00,3.849400000000000044e-01,7.145599999999999730e-01,9.531699999999999617e-01,-1.278499999999999970e+00,1.323700000000000099e+00,-4.011799999999999811e-01
